ID_Pedido,ID_Cliente,Nombre_Cliente,Email_Cliente,ID_Producto,Nombre_Producto,Categoria,Cantidad,Precio_Unitario,Fecha_Pedido,Ciudad_Envio,Pais_Envio
2568,47294,Margarita Muñoz,william43@example.org,PROD-001,Laptop Pro,tecnología,9,1258.56,2024-08-31,Bogotá,Colombia
3217,26683,Alicia Amparo Peña Velásquez,danielpalacio@example.net,PROD-006,Libreta Inteligente,Oficina,5,157.59,2025-01-06,Cartagena,Colombia
1943,CUST-20822,Paula Moreno,lopezpedro@example.com,PROD-001,  Laptop Pro ,Tecnología,1,"$ 670,37",2023-12-10,Cartagena,Colombia
1226,14819,  María Sonia Muñoz ,pperez@example.org,PROD-003,Teclado Mecánico,Accesorios,9,124.95,08-04-25,Bogotá,Colombia
1221, 70611 ,José Aguirre,angelacortes@example.com,PROD-002,Mouse Inalámbrico,Accesorios,2,75.73,2025-01-24,Cali,Colombia
2008,CUST-96938,José Restrepo Páez,lfernandez@example.org,PROD-006,Libreta Inteligente,Oficina,4,364.62,2025-07-23,Bogotá,Colombia
1633,97090,Reinaldo Cabrera Alfonso,hectorarenas@example.net,PROD-004,Monitor 4K,Tecnología,1,1459.1,10-29-23,Medellín,Colombia
1893,32813,Nancy Ortiz,mariarodriguez@example.org,PROD-003,Teclado Mecánico,Accesorios,9,944.69,2023-12-21,Barranquilla,Colombia
3341,35900,Jenny Barrera,asaavedra@example.com,PROD-003,  Teclado Mecánico ,Accesorios,4,756.23,2024-10-29,Cartagena,Colombia
1987,70579,Diana Luz Arango Galindo,jorgehernandez@example.net,PROD-003,Teclado Mecánico,Accesorios,10,1454.49,05/01/2024,Bogotá,Colombia
1656,10255,Gloria Jacqueline Mendoza,yesenia77@example.com,PROD-004,Monitor 4K,Tecnología,1,"234,67",2025-07-22,Bogotá,Colombia
1508,93113,Alfonso Carlos Díaz,manueldiaz@example.net,PROD-001,Laptop Pro,Tecnología,10,966.59,2024-05-27,Bogotá,Colombia
2904,22349,Jesús Aguirre Bustos,berthaalvarez@example.net,PROD-006,Libreta Inteligente,Oficina,8,1036.46,2023-11-13,Barranquilla,Colombia
2723,77547,Lorena Sindy Pinto Valencia,zambranonatalia@example.org,PROD-004,Monitor 4K,Tecnología,5,180.34,2025-03-31,Cartagena,Colombia
2116,81259,Cristian Mejía Polo,bastidasjorge@example.net,PROD-006,Libreta Inteligente,Oficina,2,418.85,2024-05-10,Barranquilla,Colombia
2217,65739,Sofía María Marín López,nancyordonez@example.com,PROD-001,Laptop Pro,Tecnología,2,204.65,2025-08-17,Bogotá,Colombia
1636,73080,Martín Jhonny Pérez,bescobar@example.com,PROD-001,Laptop Pro,Tecnología,2,$ 227.82,2023-10-25,Bogotá,Colombia
2458,65497,Flor Gilma Pérez Espinosa,amandacuesta@example.net,PROD-001,Laptop Pro,Tecnología,7,172.33,2025-07-05,Cartagena,Colombia
1778,58697,Alonso José Ramírez Villegas,torresalfonso@example.org,PROD-005,Silla de Oficina,Mobiliario,4,328.59,2023-12-13,Medellín,Colombia
3135,68939,Misael Cardona Lozano,andres32@example.net,PROD-001,Laptop Pro,Tecnología,1,915.91,2025-01-14,Medellín,Colombia
3154,54047,Luz Moreno,ujimenez@example.net,PROD-005,Silla de Oficina,Mobiliario,4,556.5,2024-08-09,Cali,Colombia
2248,48850,Gisela Marcela Hurtado Sánchez,mariogomez@example.org,PROD-004,Monitor 4K,Tecnología,5,792.67,2024-05-25,Barranquilla,Colombia
1409,11888,María Ligia Díaz,josesalazar@example.com,PROD-002,Mouse Inalámbrico,Accesorios,3,197.76,2024-04-01,Cartagena,Colombia
3004,75181,Gilberto José Arias Gutiérrez,ibarralibia@example.org,PROD-002,Mouse Inalámbrico,Accesorios,10,1094.85,2023-12-20,Cali,Colombia
3433,33525,Judith Herrera Romero,zrivera@example.com,PROD-002,Mouse Inalámbrico,Accesorios,5,616.98,2025-05-25,Bogotá,Colombia
1811,78715,Mabel María Angulo,ygarcia@example.net,PROD-006,Libreta Inteligente,Oficina,10,1134.81,2025-01-20,Medellín,Colombia
2265,30668,Mery Velásquez,eduardo62@example.com,PROD-003,Teclado Mecánico,Accesorios,2,1158.44,03-06-25,Medellín,Colombia
2320,69987,Andrés Ortiz,alexander96@example.com,PROD-001,Laptop Pro,Tecnología,2,318.48,2024-09-06,Barranquilla,Colombia
3370,63407,Liliana Francia Restrepo,vrivera@example.net,PROD-005,Silla de Oficina,Mobiliario,7,300.48,2025-08-22,Barranquilla,Colombia
3160,41910,Fredy Orlando Sarmiento Muñoz,andresrodriguez@example.net,PROD-003,Teclado Mecánico,Accesorios,4,751.39,2024-09-26,Barranquilla,Colombia
3007,,Yesid Andrés Martínez,cgarcia@example.org,PROD-004,Monitor 4K,Tecnología,9,"1217,21",2024-05-25,Bogota,Colombia
2015,33965,Eliana Consuelo Pineda,jaider61@example.org,PROD-004,  Monitor 4K ,Tecnología,7,1036.86,2023-11-05,Barranquilla,Colombia
1733,47643,Liliana Camila Miranda,gonzalezcarolina@example.org,PROD-001,Laptop Pro,Tecnología,3,788.49,2025-04-02,Cali,Colombia
3457,52182,Andrés Torres,mromero@example.org,PROD-003,Teclado Mecánico,Accesorios,3,$ 273.04,2023-10-04,Bogotá,Colombia
2457,27615,Enrique Rafael Vega Rivera,judith92@example.org,PROD-001,  Laptop Pro ,Tecnología,6,338.79,08-27-24,Cartagena,Colombia
2837,59055,Adriana Loaiza Cuesta,alexandraburbano@example.org,PROD-004,Monitor 4K,Tecnología,10,1085.82,2025-09-05,Cali,Colombia
3409,59429,Milena Angulo LeÃ³n,vgomez@example.com,PROD-005,Silla de Oficina,Mobiliario,1,853.8,23/03/2024,Barranquilla,Colombia
1133,52639,Wendy Liliana Zambrano Gómez,wilsonruiz@example.net,PROD-002,Mouse Inalámbrico,Accesorios,4,"925,31",2023-12-15,MEDELLÍN,Colombia
2988,55041,Johanna Johana Pedraza,lvilla@example.net,PROD-004,Monitor 4K,Tecnología,4,196.89,2024-07-27,Medellín,Colombia
3448,60502,Natalia Yadira Hernández Ortega,valenciajesus@example.com,PROD-002,Mouse Inalámbrico,Accesorios,8,769.41,2024-01-01,Cali,Colombia
3422,30012,Edinson Marcos Muñoz,menacarlos@example.com,PROD-002,Mouse Inalámbrico,Accesorios,5,1433.31,2025-09-07,Cali,Colombia
2333,82793,Fabián José Pardo Angarita,rinconomaira@example.org,PROD-002,  Mouse Inalámbrico ,Accesorios,4,$ 701.22,05-12-25,Bogotá,Colombia
2727,50938,María Galvis,ohernandez@example.org,PROD-001,Laptop Pro,Tecnología,7,"$ 1047,11",2025-09-14,Barranquilla,Colombia
2515,51761,Liliana Marcela León García,dvargas@example.net,PROD-005,Silla de Oficina,mobiliario,5,1228.31,2025-06-20,Barranquilla,Colombia
1956,72249,María Blanco,yohana44@example.com,PROD-002,Mouse Inalámbrico,accesorios,3,687.85,2023-10-15,Medellín,Colombia
2003,97518,Enrique Martínez,barrioslorena@example.com,PROD-004,Monitor 4K,Tecnología,10,"1265,89",2025-08-09,Barranquilla,Colombia
3223,CUST-52086,Rubiela Mendoza,rocioromero@example.net,PROD-006,Libreta Inteligente,Oficina,5,1155.88,2024-05-09,Cartagena,Colombia
1035,76649,Héctor Vergara Hernández,xiomara29@example.net,PROD-001,  Laptop Pro ,Tecnología,6,1002.76,2024-11-10,Medellín,Colombia
1277,98711,JesÃºs Pablo JimÃ©nez GarcÃ­a,horacio15@example.org,PROD-005,Silla de Oficina,Mobiliario,6,535.3,2024-12-18,Barranquilla,Colombia
1377,11725,Carlos Flórez Lara,mtoro@example.net,PROD-003,Teclado Mecánico,Accesorios,9,664.55,03-26-25,Cartagena,Colombia
1393, 13169 ,Paula Catalina Pérez,valenciaalexandra@example.org,PROD-001,Laptop Pro,Tecnología,7,206.08,2024-03-25,Bogotá,Colombia
2018,23297,Cecilia Lina Pérez Romero,gmartinez@example.com,PROD-005,Silla de Oficina,Mobiliario,6,306.56,2025-09-29,Cali,Colombia
2119, 93520 ,Julia Quiroga,francymiranda@example.org,PROD-003,Teclado Mecánico,accesorios,1,855.3,2023-10-30,Medellín,Colombia
1243,52931,Beatriz Alcira Mena Castillo,torresoscar@example.org,PROD-005,Silla de Oficina,Mobiliario,2,250.39,2023-11-23,Bogotá,Colombia
2700,44278,Santiago Rodríguez,henry85@example.com,PROD-001,Laptop Pro,Tecnología,9,779.92,2024-12-31,Bogotá,Colombia
2199,66911,Alexander González,beatrizpacheco@example.net,PROD-004,  Monitor 4K ,Tecnología,4,359.03,2024-08-08,Bogotá,Colombia
1407,44551,Luis Delgado,jalfonso@example.net,PROD-003,Teclado Mecánico,Accesorios,7,"880,88",2025-06-02,Medellín,Colombia
1347,80312,Ángel Germán Ramírez,bonilladaniel@example.com,PROD-002,Mouse Inalámbrico,Accesorios,2,"736,55",2024-04-29,Medellín,Colombia
1223,99084,Segundo JosÃ© Villegas,dochoa@example.com,PROD-002,Mouse Inalámbrico,Accesorios,10,802.25,2024-01-27,Medellín,Colombia
2816,24158,  Julieth Reyes Rojas ,blanca05@example.org,PROD-001,Laptop Pro,Tecnología, 5 ,200.23,18/05/2024,Barranquilla,Colombia
2981,16375,Juan Valencia,ruizjorge@example.net,PROD-006,Libreta Inteligente,Oficina,5,1357.59,2024-05-30,Medellín,Colombia
3064,70506,Alfredo Arturo Pérez,rodriguezmario@example.net,PROD-001,Laptop Pro,Tecnología,5,45.61,2025-02-05,Bogotá,Colombia
1721,91931,Alexander Germán Guevara,mercedestorres@example.org,PROD-005,Silla de Oficina,Mobiliario, 5 ,407.78,2023-10-09,Bogotá,Colombia
1445,64877,Jean Joaquín Peña Rodríguez,arizasebastian@example.com,PROD-006,Libreta Inteligente,Oficina, 8 ,611.11,2025-01-18,Cartagena,Colombia
1145,77246,Mariana Mireya Díaz Orozco,emurcia@example.net,PROD-001,Laptop Pro,Tecnología,7,561.95,22/07/2024,Medellín,Colombia
2939,52302,Luz Paola Roa López,mayerlyperea@example.com,PROD-005,  Silla de Oficina ,Mobiliario,9,29.27,2023-12-21,Cali,Colombia
3144,63340,Dayana Meneses,susanaordonez@example.com,PROD-002,Mouse Inalámbrico,Accesorios,2,291.92,2024-03-20,Bogotá,Colombia
3439,77817,Néstor Jhoan Cárdenas,nelsoncruz@example.org,PROD-005,Silla de Oficina,Mobiliario,2,378.07,2025-06-10,Cali,Colombia
1950,19143,William Marín,tatianalopez@example.com,PROD-002,Mouse Inalámbrico,Accesorios,8,"1320,8",2025-09-16,Cali,Colombia
1127,91321,MarÃ­a Helena Salazar Quintero,ruedapedro@example.com,PROD-006,Libreta Inteligente,Oficina,9,141.71,25/05/2024,Medellín,Colombia
1413,25426,Fabio Pérez,utoro@example.com,PROD-004,Monitor 4K,Tecnología,2,1372.32,2025-08-15,Cali,Colombia
3333,46111,Mauricio Raúl Amaya Espinosa,ybonilla@example.com,PROD-004,  Monitor 4K ,Tecnología,3,"875,48",2024-01-01,Cartagena,Colombia
2466,75648,Lizeth Meza Lozano,luis70@example.com,PROD-002,Mouse Inalámbrico,Accesorios, 7 ,"1377,02",2024-07-26,Cali,Colombia
1428,12509,Steven Manuel Osorio Salgado,william90@example.net,PROD-006,Libreta Inteligente,oficina,6,267.62,2023-12-20,Medellín,Colombia
3428,35904,Orlando Jhoan Guerrero,adrian99@example.org,PROD-005,Silla de Oficina,Mobiliario,9,360.66,17/03/2024,Cartagena,Colombia
2484,26055,Irma Dolores Escobar,isabeldiaz@example.org,PROD-002,Mouse Inalámbrico,accesorios,1,327.51,09/07/2025,Medellín,Colombia
2071,58492,Nelly Salcedo,jimenezjose@example.com,PROD-006,Libreta Inteligente,Oficina,2,1287.4,2024-01-20,Cali,Colombia
3361,33988,Andrés Osorio,svalencia@example.net,PROD-005,Silla de Oficina,Mobiliario,9,1446.75,2025-04-02,Bogotá,Colombia
1613,79728,Luis Camargo Álvarez,leonalcides@example.com,PROD-003,Teclado Mecánico,Accesorios,6,1076.81,2025-04-27,Cali,Colombia
3171,57999,Juan Domínguez Zuluaga,vcastro@example.org,PROD-001,Laptop Pro,Tecnología,10,496.68,07-01-24,Barranquilla,Colombia
1376,80717,Alejandro Cristian Rivera,padilladavid@example.org,PROD-004,Monitor 4K,Tecnología, 5 ,261.03,2024-08-20,Cartagena,Colombia
1208,58402,Sandra Camila Martínez,ycastro@example.com,PROD-006,Libreta Inteligente,Oficina,4,169.27,2024-02-04,Cali,Colombia
1066,48907,Yazmín Eliana Ballesteros Palacios,mariaamaya@example.com,PROD-006,  Libreta Inteligente ,Oficina,10,33.69,2024-02-28,Cali,Colombia
3327,52402,Ferney Cárdenas,antoniopedraza@example.net,PROD-005,Silla de Oficina,Mobiliario,3,406.18,2025-03-02,Cali,Colombia
1808,47546,Luz Luz Aguirre,maria65@example.com,PROD-005,Silla de Oficina,Mobiliario,5,1012.7,2024-10-06,Cali,Colombia
1461,72209,Fernanda Carmenza Rincón Beltrán,ruizgustavo@example.com,PROD-001,  Laptop Pro ,Tecnología,7,395.83,2024-01-07,Cali,Colombia
1307,51196,Oliva Herrera Salazar,hvelez@example.net,PROD-006,Libreta Inteligente,Oficina,3,78.54,2024-11-30,Barranquilla,Colombia
1484, 64391 ,Edwin Ever Fuentes Mantilla,carolina06@example.net,PROD-002,Mouse Inalámbrico,Accesorios,9,754.63,2023-12-18,Medellín,Colombia
1919,75108,Nancy Zambrano Rentería,hernandezclaudia@example.com,PROD-001,Laptop Pro,Tecnología, 4 ,612.16,2025-06-27,Bogotá,Colombia
3116,51222,Aldemar Ramírez,mdaza@example.org,PROD-004,Monitor 4K,Tecnología,9,"307,15",2024-02-08,Barranquilla,Colombia
2094,19677,Armando Campo Hernández,rafael17@example.org,PROD-005,Silla de Oficina,Mobiliario,2,798.81,2025-05-27,Cali,Colombia
1040,49300,MarÃ­a DÃ­az Buitrago,omar44@example.org,PROD-004,Monitor 4K,Tecnología,6,696.72,2024-05-29,Barranquilla,Colombia
1362,32441,Ruby Ivonne Polo Ocampo,josearroyo@example.net,PROD-001,Laptop Pro,Tecnología,4,52.34,2024-08-20,Medellín,Colombia
3301,61131,María Alix Perdomo,carmen52@example.com,PROD-001,Laptop Pro,Tecnología,3,510.06,2025-07-14,Barranquilla,Colombia
2645,47740,Antonio Iván Peña,waltervera@example.com,PROD-005,Silla de Oficina,Mobiliario,10,$ 593.66,2023-12-17,Cartagena,Colombia
3146,35364,Hugo Carlos González,julianaosorio@example.org,PROD-004,Monitor 4K,Tecnología,3,670.9,08-04-25,Barranquilla,Colombia
1215,92384,Dayana Rentería,ernestomendez@example.net,PROD-001,Laptop Pro,Tecnología,8,962.81,2024-03-05,Barranquilla,Colombia
1332,46407,Rafael Hernando Salazar,tfernandez@example.net,PROD-004,Monitor 4K,Tecnología,4,"426,09",2024-03-30,Cartagena,Colombia
2868,,Antonio Mercado,leonardo30@example.com,PROD-002,Mouse Inalámbrico,Accesorios,1,1304.92,2025-09-25,Barranquilla,Colombia
1873,43249,Fredy Sánchez,alfonsoperez@example.com,PROD-001,Laptop Pro,Tecnología,5,112.67,2025-02-05,Cartagena,Colombia
3157,45136,  Rafael Parada ,hector64@example.com,PROD-006,Libreta Inteligente,Oficina,1,251.38,2025-02-15,Medellín,Colombia
3015,28895,Arbey Harvey Fernández Calderón,uojeda@example.com,PROD-002,Mouse Inalámbrico,Accesorios,4,829.65,14/06/2025,Cartagena,Colombia
1828,96022,Ãlvaro Triana,ymontoya@example.com,PROD-006,Libreta Inteligente,Oficina,10,1382.75,2024-02-08,Medellín,Colombia
1538,11440,Armando JosÃ© MartÃ­nez GÃ³mez,reyesfernanda@example.org,PROD-005,Silla de Oficina,Mobiliario,2,1115.76,2024-07-31,Cartagena,Colombia
2769,48428,Elvia Lucía Reyes,gmosquera@example.net,PROD-003,Teclado Mecánico,Accesorios,2,867.96,2025-09-02,Bogotá,Colombia
1112,10487,Juan Castañeda Muñoz,paula74@example.org,PROD-006,Libreta Inteligente,oficina, 10 ,1217.01,09-22-24,Medellín,Colombia
2709,24005,Edith Rojas,narvaezjorge@example.com,PROD-002,Mouse Inalámbrico,Accesorios, 3 ,"1178,39",2025-02-16,Medellín,Colombia
3354,53307,David Cristian Vargas,simon03@example.com,PROD-002,  Mouse Inalámbrico ,Accesorios,6,430.94,2025-08-16,Cali,Colombia
1967,89256,Alejandro Andrés Arango,pvega@example.org,PROD-006,Libreta Inteligente,Oficina,3,1000.75,2024-07-23,Cali,Colombia
1603,77152,Dario Hernando Correa,humbertorodriguez@example.org,PROD-004,Monitor 4K,Tecnología,5,303.83,2023-12-15,Medellín,Colombia
1152,CUST-33510,  Marcela Viviana Castaño Rivas ,luisvelasco@example.net,PROD-002,Mouse Inalámbrico,Accesorios,5,966.04,2025-07-18,Barranquilla,Colombia
1763,16046,José Andrey Cardona,ivalencia@example.org,PROD-006,Libreta Inteligente,Oficina,9,599.75,05-25-25,Bogotá,Colombia
2958,13799,Yazmín Alexandra Ariza,teresalopez@example.net,PROD-005,Silla de Oficina,Mobiliario,5,325.78,2024-12-20,barranquilla,Colombia
2528,67667,Anderson Arias,ncruz@example.com,PROD-004,Monitor 4K,Tecnología,3,288.31,2025-09-04,Barranquilla,Colombia
1203,69432,Alexander Germán Arias,davidmolina@example.org,PROD-005,Silla de Oficina,Mobiliario,8,376.34,2024-05-04,Medellín,Colombia
2081,26661,Maribel Rojas Rodríguez,rvargas@example.com,PROD-002,Mouse Inalámbrico,Accesorios,5,114.59,2024-11-06,Cartagena,Colombia
1805,83160,Javier Escobar,ddiaz@example.com,PROD-005,Silla de Oficina,mobiliario,1,415.73,2024-09-16,Medellín,Colombia
2886,36214,Felipe Calderón,mariaruiz@example.com,PROD-004,Monitor 4K,Tecnología,8,1455.34,2024-03-31,Cali,Colombia
2621,68237,Gloria Arroyo López,rfigueroa@example.org,PROD-003,Teclado Mecánico,Accesorios,5,$ 1270.12,2023-11-02,Bogotá,Colombia
2236,31609,Patricia María Mendoza Ramírez,fgil@example.org,PROD-005,Silla de Oficina,Mobiliario,6,537.19,2024-08-28,Cartagena,Colombia
2697,78656,Edwin Gil Giraldo,marcela44@example.com,PROD-006,Libreta Inteligente,Oficina,6,1466.34,2024-11-30,Bogotá,Colombia
2414,64574,Alejandra Ana Lara Pineda,garciaconsuelo@example.org,PROD-003,Teclado Mecánico,Accesorios,1,217.9,2025-08-08,Medellín,Colombia
1249,29080,Luz Granados Ordóñez,ibarrachristian@example.net,PROD-002,Mouse Inalámbrico,Accesorios,3,1257.64,09-10-24,Medellín,Colombia
2821,93830,Alberto López,rodolfo64@example.org,PROD-002,Mouse Inalámbrico,Accesorios, 1 ,198.72,2025-06-30,Bogotá,Colombia
2266,37633,Julián Luis Garcés Gutiérrez,augustoleon@example.com,PROD-005,Silla de Oficina,Mobiliario,7,"1085,22",2023-10-11,Bogotá,Colombia
3077, 17126 ,María María Pérez,gutierrezviviana@example.com,PROD-005,Silla de Oficina,Mobiliario,6,1122.02,2024-01-10,Barranquilla,Colombia
1550,,Erika Alexandra Barrios Pardo,jlozano@example.net,PROD-002,Mouse Inalámbrico,Accesorios,2,772.77,2024-05-21,Medellín,Colombia
2640,76569,Juan Marín Ospina,csalazar@example.org,PROD-005,Silla de Oficina,Mobiliario,3,532.98,20/02/2025,Medellín,Colombia
2260,CUST-19757,Yulieth Carolina Córdoba Ramírez,dario06@example.net,PROD-002,Mouse Inalámbrico,Accesorios,4,597.73,2024-06-30,Bogotá,Colombia
1761,57788,Ximena Puentes Rodríguez,harold52@example.com,PROD-004,Monitor 4K,tecnología,7,"1064,65",2024-11-19,Bogotá,Colombia
3114,16189,Yésica Bedoya Osorio,rosarojas@example.net,PROD-003,Teclado Mecánico,Accesorios,9,1476.06,2023-12-03,Medellín,Colombia
1852,,  Yulieth Castro ,santiago36@example.org,PROD-004,Monitor 4K,Tecnología,4,304.52,2024-03-25,Barranquilla,Colombia
1608,,Alexandra Corredor Castro,ortegamagaly@example.net,PROD-002,Mouse Inalámbrico,Accesorios,9,1333.18,2024-06-29,Barranquilla,Colombia
1012,42350,Lucía Marta Castro Duque,flortorres@example.org,PROD-003,Teclado Mecánico,accesorios,4,815.61,2025-08-24,Bogotá,Colombia
1857,91470,Rosa Rodríguez Muñoz,maria85@example.org,PROD-006,Libreta Inteligente,Oficina, 1 ,150.34,2024-10-23,Cartagena,Colombia
2603,40507,  Carlos Ariel Garzón Rueda ,acevedoisabel@example.org,PROD-003,Teclado Mecánico,Accesorios,6,521.79,2025-05-06,Cartagena,Colombia
3495,29714,Marcela González,guillermo36@example.net,PROD-001,Laptop Pro,Tecnología,7,346.41,2023-12-24,Bogotá,Colombia
1647,24737,Víctor Hernández Loaiza,gaviriapatricia@example.org,PROD-005,Silla de Oficina,Mobiliario,1,407.2,2023-12-24,Bogotá,Colombia
1183,19409,Armando Diego Moreno,crivera@example.com,PROD-005,Silla de Oficina,Mobiliario,6,1063.94,2024-06-29,Barranquilla,Colombia
3184,66803,Enrique Hernández Barrera,javiermontes@example.net,PROD-004,Monitor 4K,Tecnología,5,1140.5,2024-08-03,Bogotá,Colombia
2910,70805,Paula Arboleda,lucymercado@example.com,PROD-005,Silla de Oficina,Mobiliario,7,1279.33,2024-11-15,CALI,Colombia
2733,79265,Carmen Saavedra Cano,davidsuarez@example.com,PROD-004,Monitor 4K,Tecnología,7,647.66,2024-05-05,Cali,Colombia
1353,77019,  David Barrera ,mmunoz@example.org,PROD-002,Mouse Inalámbrico,Accesorios,8,1085.41,2024-11-15,Medellín,Colombia
3466,21366,  Alejandro Gómez ,tovarkelly@example.com,PROD-002,Mouse Inalámbrico,Accesorios,5,"933,4",2024-04-01,Cali,Colombia
1555,87519,María Alejandra Mosquera,gerardo45@example.com,PROD-002,  Mouse Inalámbrico ,Accesorios,8,"666,11",2025-04-26,Barranquilla,Colombia
2551,71595,Valentina Katherin Flórez,contrerasalejandra@example.net,PROD-004,Monitor 4K,Tecnología,10,872.39,06-03-24,cartagena,Colombia
1339,34443,Emiro Guillermo Sanabria Ocampo,antonioorozco@example.org,PROD-003,Teclado Mecánico,Accesorios, 5 ,112.79,27/10/2024,Barranquilla,Colombia
1528, 85839 ,Johan Sánchez Parra,dcorredor@example.org,PROD-001,Laptop Pro,Tecnología,2,1056.31,2024-05-17,Barranquilla,Colombia
1017,92957,  Sandra Helena Franco ,ytorres@example.com,PROD-003,Teclado Mecánico,Accesorios,5,558.67,2023-10-01,Cartagena,Colombia
1232,25878,Dayana Lucía Castillo Marín,mariomartinez@example.com,PROD-006,Libreta Inteligente,Oficina,10,821.87,2025-03-10,Cali,Colombia
3325,76411,Cristina Ruth Galeano,qgiraldo@example.org,PROD-001,Laptop Pro,Tecnología,7,1477.94,2024-07-07,Medellín,Colombia
3083,18439,  IvÃ¡n Edgar GarcÃ­a ,maritzarojas@example.com,PROD-003,Teclado Mecánico,Accesorios,3,1276.04,2025-08-15,Medellín,Colombia
1381,28655,Germán Torres López,eugeniagomez@example.org,PROD-001,Laptop Pro,Tecnología,10,151.98,2023-12-11,Medellín,Colombia
3156, 93892 ,José Tamayo,romeromiguel@example.com,PROD-004,Monitor 4K,Tecnología,3,357.62,2024-11-29,Barranquilla,Colombia
2302,14747,Johana Isabel Mosquera,castilloeliana@example.net,PROD-001,Laptop Pro,Tecnología,2,411.06,10-21-24,Cali,Colombia
2860,97342,Diego Rangel López,guillermo24@example.net,PROD-002,Mouse Inalámbrico,Accesorios,6,1180.69,2024-01-29,Cartagena,Colombia
1803,97805,Yerson Camargo Herrera,rendonalberto@example.org,PROD-002,Mouse Inalámbrico,Accesorios,8,716.1,2024-04-19,Cali,Colombia
2060,CUST-67544,Cristina Martha García,carlos46@example.net,PROD-002,Mouse Inalámbrico,Accesorios,9,304.55,2023-11-07,Cali,Colombia
3269,34993,Laura Rojas,ntorres@example.net,PROD-005,Silla de Oficina,Mobiliario,1,1012.74,2024-04-22,Cartagena,Colombia
2071,58492,Nelly Salcedo,jimenezjose@example.com,PROD-006,  Libreta Inteligente ,Oficina,2,1287.4,2024-01-20,Cali,Colombia
2607,87298,  María Eliana Gómez ,bsoto@example.org,PROD-002,Mouse Inalámbrico,Accesorios,6,1319.84,2024-10-11,Cali,Colombia
1981,81393,Nelson Esteban Rodríguez,hvelasquez@example.net,PROD-004,Monitor 4K,Tecnología,8,81.28,2025-06-04,Cartagena,Colombia
2462,CUST-51024,Edward Juan Caicedo González,zramos@example.net,PROD-005,Silla de Oficina,Mobiliario,6,247.61,2025-05-24,Cartagena,Colombia
2345,28884,Ruby Angie López Martínez,rocio35@example.com,PROD-001,Laptop Pro,Tecnología,3,1497.22,2024-08-04,Barranquilla,Colombia
1530,37356,Ruth Milena LÃ³pez,maria01@example.com,PROD-001,Laptop Pro,Tecnología,5,769.43,2025-01-03,Cali,Colombia
1697,76243,Jorge Henao Quintero,sanchezluis@example.net,PROD-002,Mouse Inalámbrico,Accesorios,7,551.94,2025-03-07,cali,Colombia
3232,70014,Alexander Gabriel Córdoba Santos,danielguerra@example.com,PROD-001,Laptop Pro,Tecnología,7,1345.19,2025-08-18,Bogotá,Colombia
3356,67998,Juan Morales,stellahernandez@example.com,PROD-006,Libreta Inteligente,Oficina,7,1369.99,2024-09-22,Medellín,Colombia
2941,50011,Jhon Ávila,omar17@example.net,PROD-002,Mouse Inalámbrico,Accesorios,2,645.2,2025-02-07,Cali,Colombia
3225, 11401 ,Aura Posada,guzmanjudith@example.net,PROD-002,Mouse Inalámbrico,Accesorios,6,631.88,2024-08-08,Medellín,Colombia
